"Data_Set","Num_Responses_per_Condition","BW","Trial","C1","Cstr1","C2","Cstr2","DF_ART_Omni","DF_Param","DF_ART_Con","T_ART_Omni","T_Param","T_ART_Con","P_ART_Omni","P_Param","P_ART_Con","P_Nonparam"
1,8,"between","1","5","a","6","b",28,28,28,0.357859247619395,-0.447794289782366,0.357859247619395,0.723132316239017,0.657747190313269,0.723132316239017,0.642022222684723
1,8,"between","2","7","c","8","d",28,28,28,0.19157027861145,1.05403001470835,0.19157027861145,0.849461294387304,0.300880135207099,0.849461294387304,0.925995689195583
1,8,"between","3","1","a c","2","b c",28,28,28,0.966928588591817,-0.678221072007219,0.127346841547328,0.341857886712733,0.503198510652471,0.899576063735704,0.959129759129759
1,8,"between","4","1","a c","3","a d",28,28,28,-1.67790549196815,0.383729077848935,-0.12734684154733,0.104494932328938,0.704077689430884,0.899576063735703,0.959129759129759
1,8,"between","5","1","a c","4","b d",28,28,28,-0.540342446566016,0.428673392092705,0.407509892951451,0.59323334006741,0.67144090701384,0.686732513056447,0.720901320901321
1,8,"between","6","2","b c","3","a d",28,28,28,-2.64483408055997,1.06195014985615,0.254693683094657,0.0132477846484058,0.297332371221208,0.800821049229333,0.798445998445998
1,8,"between","7","2","b c","4","b d",28,28,28,-1.50727103515783,1.10689446409992,0.280163051404123,0.142941893083278,0.27775874684652,0.781411913128964,0.798445998445998
1,8,"between","8","3","a d","4","b d",28,28,28,1.13756304540214,0.04494431424377,0.53485673449878,0.264944117019445,0.964470703824609,0.596971253462009,0.645376845376845
2,16,"between","9","5","a","6","b",60,60,60,0.266552961654924,-0.246092314333084,0.266552961654924,0.790727322823948,0.806450709364263,0.790727322823948,1
2,16,"between","10","7","c","8","d",60,60,60,-0.368779834049416,0.516307547876334,-0.368779834049416,0.713589956491226,0.607537331059315,0.713589956491226,0.607530734525206
2,16,"between","11","1","a c","2","b c",60,60,60,1.44654009216002,0.39281324965561,0.816802395007558,0.153229935303839,0.695849562374815,0.417272764025793,0.445036228847858
2,16,"between","12","1","a c","3","a d",60,60,60,-0.135010408601602,0.931911362199579,0.450649597245549,0.893055549812393,0.355117187726131,0.653866446729413,0.589580811312111
2,16,"between","13","1","a c","4","b d",60,60,60,-0.694339244236809,0.191071024018339,-0.366152797762009,0.49014935836374,0.849115039557039,0.715538991458126,0.668930879611627
2,16,"between","14","2","b c","3","a d",60,60,60,-1.58155050076162,0.539098112543969,0.366152797762009,0.119009859652561,0.591814010098401,0.715538991458126,0.668930879611627
2,16,"between","15","2","b c","4","b d",60,60,60,-2.14087933639683,-0.201742225637271,-1.18295519276957,0.036356341016481,0.840800686708117,0.241493186217699,0.27032576790602
2,16,"between","16","3","a d","4","b d",60,60,60,-0.559328835635208,-0.74084033818124,-0.816802395007559,0.578019295268129,0.461679838080998,0.417272764025793,0.445036228847858
3,8,"between","17","5","a","6","b",28,28,28,-0.289227108073939,-1.35809208604973,-0.28922710807394,0.774538346222641,0.185277992104007,0.774538346222641,0.809125348441329
3,8,"between","18","7","c","8","d",28,28,28,-0.560380690062422,-0.373797853875193,-0.560380690062422,0.579676412485396,0.711370281984427,0.579676412485396,0.615563482282295
3,8,"between","19","1","a c","2","b c",28,28,28,1.3479185963777,-0.774843972661687,-0.254764519887321,0.188489599982186,0.444926428754293,0.800766880855522,0.878477078477078
3,8,"between","20","1","a c","3","a d",28,28,28,0.29072754039519,-0.0788428464082641,-0.433099683808445,0.773402298369993,0.937718398906294,0.668260485313869,0.720901320901321
3,8,"between","21","1","a c","4","b d",28,28,28,1.11005060878164,-1.22463112078968,-0.535005491763373,0.276419774915694,0.230917858160636,0.596869742738428,0.573737373737374
3,8,"between","22","2","b c","3","a d",28,28,28,-1.05719105598251,0.696001126253422,0.178335163921124,0.299460620642804,0.492165414225248,0.859743804628843,0.720901320901321
3,8,"between","23","2","b c","4","b d",28,28,28,-0.237867987596065,-0.44978714812799,-0.280240971876052,0.813715558002863,0.656326813868947,0.781352745831584,1
3,8,"between","24","3","a d","4","b d",28,28,28,0.819323068386446,-1.14578827438141,-0.101905807954928,0.419521681407092,0.261581426016196,0.919557730579577,0.798445998445998
4,8,"between","25","5","a","6","b",28,28,28,-0.984541935460454,-1.82811834222906,-0.984541935460455,0.33328070636644,0.078205496755319,0.33328070636644,0.380896465446161
4,8,"between","26","7","c","8","d",28,28,28,-0.531706427181737,-0.100254335146726,-0.531706427181737,0.599122939135132,0.920856814423544,0.599122939135132,0.539149690110503
