Population Distribution,Layout,Between or Within,Condition Sample Size,Contrast Size,ART observed power,ART-C observed power,T-test observed power,Mann Whitney U test/ Wilcoxon signed-rank test observed power
Normal,3x3,Within,8,1-Factor Contrasts,0.484,0.484,0.488,0.356
Normal,3x3,Within,8,2-Factor Contrasts,0.338,0.500,0.505,0.409
Normal,3x3,Within,32,1-Factor Contrasts,0.692,0.692,0.706,0.606
Normal,3x3,Within,32,2-Factor Contrasts,0.594,0.728,0.726,0.716
Lognormal,2x2,Between,8,1-Factor Contrasts,0.484,0.484,0.360,0.352
Lognormal,2x2,Between,8,2-Factor Contrasts,0.339,0.509,0.320,0.487
Lognormal,2x2,Between,24,1-Factor Contrasts,0.746,0.746,0.635,0.635
Lognormal,2x2,Between,24,2-Factor Contrasts,0.527,0.691,0.497,0.678
Lognormal,2x2,Between,40,1-Factor Contrasts,0.785,0.785,0.701,0.681
Lognormal,2x2,Between,40,2-Factor Contrasts,0.605,0.753,0.588,0.745
Lognormal,2x2,Between,32,1-Factor Contrasts,0.730,0.730,0.648,0.643
Lognormal,2x2,Between,32,2-Factor Contrasts,0.573,0.745,0.545,0.730
Lognormal,2x2,Between,16,1-Factor Contrasts,0.632,0.632,0.483,0.534
Lognormal,2x2,Between,16,2-Factor Contrasts,0.430,0.625,0.445,0.599
Lognormal,2x2,Within,40,1-Factor Contrasts,0.748,0.748,0.590,0.677
Lognormal,2x2,Within,40,2-Factor Contrasts,0.633,0.748,0.524,0.710
Lognormal,2x2,Within,24,1-Factor Contrasts,0.675,0.675,0.506,0.540
Lognormal,2x2,Within,24,2-Factor Contrasts,0.541,0.679,0.444,0.648
Lognormal,2x2,Within,8,1-Factor Contrasts,0.472,0.472,0.302,0.349
Lognormal,2x2,Within,8,2-Factor Contrasts,0.336,0.490,0.276,0.380
Lognormal,2x2,Within,16,1-Factor Contrasts,0.635,0.635,0.447,0.486
Lognormal,2x2,Within,16,2-Factor Contrasts,0.462,0.639,0.415,0.571
Lognormal,2x2,Within,32,1-Factor Contrasts,0.739,0.739,0.590,0.656
Lognormal,2x2,Within,32,2-Factor Contrasts,0.593,0.702,0.475,0.659
Lognormal,2x2x2,Between,24,1-Factor Contrasts,0.794,0.794,0.596,0.570
Lognormal,2x2x2,Between,24,2-Factor Contrasts,0.549,0.715,0.518,0.602
Lognormal,2x2x2,Between,24,3-Factor Contrasts,0.461,0.712,0.439,0.694
Lognormal,2x2x2,Between,40,1-Factor Contrasts,0.827,0.827,0.632,0.661
Lognormal,2x2x2,Between,40,2-Factor Contrasts,0.636,0.749,0.590,0.684
Lognormal,2x2x2,Between,40,3-Factor Contrasts,0.545,0.767,0.496,0.753
Lognormal,2x2x2,Between,32,1-Factor Contrasts,0.833,0.833,0.633,0.625
Lognormal,2x2x2,Between,32,2-Factor Contrasts,0.619,0.738,0.563,0.668
Lognormal,2x2x2,Between,32,3-Factor Contrasts,0.510,0.739,0.466,0.720
Lognormal,2x2x2,Between,8,1-Factor Contrasts,0.628,0.628,0.352,0.389
Lognormal,2x2x2,Between,8,2-Factor Contrasts,0.376,0.478,0.332,0.389
Lognormal,2x2x2,Between,8,3-Factor Contrasts,0.281,0.516,0.282,0.479
Lognormal,2x2x2,Between,16,1-Factor Contrasts,0.725,0.725,0.495,0.496
Lognormal,2x2x2,Between,16,2-Factor Contrasts,0.508,0.608,0.441,0.524
Lognormal,2x2x2,Between,16,3-Factor Contrasts,0.391,0.630,0.364,0.599
Lognormal,2x2x2,Within,40,1-Factor Contrasts,0.835,0.835,0.610,0.628
Lognormal,2x2x2,Within,40,2-Factor Contrasts,0.660,0.740,0.535,0.654
Lognormal,2x2x2,Within,40,3-Factor Contrasts,0.597,0.749,0.461,0.721
Lognormal,2x2x2,Within,8,1-Factor Contrasts,0.649,0.649,0.356,0.337
Lognormal,2x2x2,Within,8,2-Factor Contrasts,0.376,0.444,0.310,0.358
Lognormal,2x2x2,Within,8,3-Factor Contrasts,0.314,0.498,0.272,0.384
Lognormal,2x2x2,Within,32,1-Factor Contrasts,0.848,0.848,0.591,0.606
Lognormal,2x2x2,Within,32,2-Factor Contrasts,0.657,0.730,0.521,0.654
Lognormal,2x2x2,Within,32,3-Factor Contrasts,0.568,0.741,0.425,0.708
Lognormal,2x2x2,Within,24,1-Factor Contrasts,0.818,0.818,0.562,0.587
Lognormal,2x2x2,Within,24,2-Factor Contrasts,0.612,0.677,0.473,0.596
Lognormal,2x2x2,Within,24,3-Factor Contrasts,0.532,0.701,0.381,0.657
Lognormal,2x2x2,Within,16,1-Factor Contrasts,0.761,0.761,0.464,0.487
Lognormal,2x2x2,Within,16,2-Factor Contrasts,0.531,0.595,0.397,0.510
Lognormal,2x2x2,Within,16,3-Factor Contrasts,0.463,0.620,0.333,0.560
Lognormal,3x3,Between,24,1-Factor Contrasts,0.771,0.771,0.556,0.616
Lognormal,3x3,Between,24,2-Factor Contrasts,0.644,0.708,0.420,0.690
Lognormal,3x3,Between,16,1-Factor Contrasts,0.682,0.682,0.477,0.488
Lognormal,3x3,Between,16,2-Factor Contrasts,0.579,0.641,0.363,0.610
Lognormal,3x3,Between,40,1-Factor Contrasts,0.798,0.798,0.598,0.650
Lognormal,3x3,Between,40,2-Factor Contrasts,0.714,0.758,0.473,0.746
Lognormal,3x3,Between,8,1-Factor Contrasts,0.585,0.585,0.345,0.356
Lognormal,3x3,Between,8,2-Factor Contrasts,0.452,0.540,0.284,0.503
Lognormal,3x3,Between,32,1-Factor Contrasts,0.802,0.802,0.613,0.653
Lognormal,3x3,Between,32,2-Factor Contrasts,0.685,0.741,0.444,0.726
Lognormal,3x3,Within,40,1-Factor Contrasts,0.800,0.800,0.563,0.664
Lognormal,3x3,Within,40,2-Factor Contrasts,0.735,0.758,0.431,0.729
Lognormal,3x3,Within,24,1-Factor Contrasts,0.762,0.762,0.498,0.571
Lognormal,3x3,Within,24,2-Factor Contrasts,0.681,0.700,0.385,0.653
Lognormal,3x3,Within,16,1-Factor Contrasts,0.715,0.715,0.435,0.482
Lognormal,3x3,Within,16,2-Factor Contrasts,0.630,0.646,0.314,0.579
Lognormal,3x3,Within,8,1-Factor Contrasts,0.550,0.550,0.314,0.338
Lognormal,3x3,Within,8,2-Factor Contrasts,0.459,0.502,0.257,0.387
Lognormal,3x3,Within,32,1-Factor Contrasts,0.783,0.783,0.530,0.596
Lognormal,3x3,Within,32,2-Factor Contrasts,0.700,0.728,0.422,0.689
Exponential,2x2,Between,8,1-Factor Contrasts,0.483,0.483,0.403,0.314
Exponential,2x2,Between,8,2-Factor Contrasts,0.262,0.426,0.355,0.407
Exponential,2x2,Between,24,1-Factor Contrasts,0.717,0.717,0.667,0.571
Exponential,2x2,Between,24,2-Factor Contrasts,0.445,0.631,0.551,0.625
Exponential,2x2,Between,32,1-Factor Contrasts,0.730,0.730,0.683,0.596
Exponential,2x2,Between,32,2-Factor Contrasts,0.526,0.660,0.590,0.651
Exponential,2x2,Between,40,1-Factor Contrasts,0.810,0.810,0.749,0.657
