Population Distribution,Layout,Between or Within,Condition Sample Size,Contrast Size,ART-C observed Type I error rate,T-test observed Type I error rate,Mann Whitney U test/ Wilcoxon signed-rank test observed Type I error rate,ART observed Type I error rate
T with 3 D.F.,2x2x2,Within,24,1-Factor Contrasts,0.05,0.037,0.042,0.05
T with 3 D.F.,2x2x2,Within,24,2-Factor Contrasts,0.048,0.045,0.047,0.03
T with 3 D.F.,2x2x2,Within,24,3-Factor Contrasts,0.05,0.051,0.048,0.024
T with 3 D.F.,2x2x2,Within,8,1-Factor Contrasts,0.047,0.035,0.043,0.047
T with 3 D.F.,2x2x2,Within,8,2-Factor Contrasts,0.044,0.042,0.037,0.012
T with 3 D.F.,2x2x2,Within,8,3-Factor Contrasts,0.046,0.046,0.034,0.009
T with 3 D.F.,2x2x2,Within,16,1-Factor Contrasts,0.036,0.037,0.037,0.036
T with 3 D.F.,2x2x2,Within,16,2-Factor Contrasts,0.046,0.047,0.044,0.024
T with 3 D.F.,2x2x2,Within,16,3-Factor Contrasts,0.05,0.052,0.044,0.017
T with 3 D.F.,2x2x2,Within,32,1-Factor Contrasts,0.045,0.048,0.05,0.045
T with 3 D.F.,2x2x2,Within,32,2-Factor Contrasts,0.053,0.044,0.046,0.023
T with 3 D.F.,2x2x2,Within,32,3-Factor Contrasts,0.047,0.041,0.044,0.016
T with 3 D.F.,3x3,Between,40,1-Factor Contrasts,0.045,0.044,0.047,0.045
T with 3 D.F.,3x3,Between,40,2-Factor Contrasts,0.053,0.049,0.052,0.029
T with 3 D.F.,3x3,Between,16,1-Factor Contrasts,0.042,0.043,0.04,0.042
T with 3 D.F.,3x3,Between,16,2-Factor Contrasts,0.047,0.049,0.046,0.025
T with 3 D.F.,3x3,Between,24,1-Factor Contrasts,0.054,0.058,0.057,0.054
T with 3 D.F.,3x3,Between,24,2-Factor Contrasts,0.051,0.052,0.049,0.022
T with 3 D.F.,3x3,Between,32,1-Factor Contrasts,0.054,0.061,0.055,0.054
T with 3 D.F.,3x3,Between,32,2-Factor Contrasts,0.05,0.057,0.048,0.029
T with 3 D.F.,3x3,Between,8,1-Factor Contrasts,0.049,0.049,0.05,0.049
T with 3 D.F.,3x3,Between,8,2-Factor Contrasts,0.052,0.057,0.052,0.021
T with 3 D.F.,3x3,Within,40,1-Factor Contrasts,0.054,0.045,0.043,0.054
T with 3 D.F.,3x3,Within,40,2-Factor Contrasts,0.051,0.049,0.05,0.025
T with 3 D.F.,3x3,Within,16,1-Factor Contrasts,0.056,0.049,0.059,0.056
T with 3 D.F.,3x3,Within,16,2-Factor Contrasts,0.049,0.055,0.045,0.027
T with 3 D.F.,3x3,Within,24,1-Factor Contrasts,0.055,0.054,0.056,0.055
T with 3 D.F.,3x3,Within,24,2-Factor Contrasts,0.055,0.06,0.053,0.027
T with 3 D.F.,3x3,Within,8,1-Factor Contrasts,0.048,0.047,0.045,0.048
T with 3 D.F.,3x3,Within,8,2-Factor Contrasts,0.055,0.055,0.043,0.023
T with 3 D.F.,3x3,Within,32,1-Factor Contrasts,0.056,0.05,0.051,0.056
T with 3 D.F.,3x3,Within,32,2-Factor Contrasts,0.055,0.055,0.054,0.028
Double Exponential,2x2,Between,8,1-Factor Contrasts,0.05,0.043,0.036,0.05
Double Exponential,2x2,Between,8,2-Factor Contrasts,0.039,0.039,0.038,0.007
Double Exponential,2x2,Between,24,1-Factor Contrasts,0.052,0.035,0.045,0.052
Double Exponential,2x2,Between,24,2-Factor Contrasts,0.045,0.049,0.042,0.01
Double Exponential,2x2,Between,40,1-Factor Contrasts,0.034,0.031,0.036,0.034
Double Exponential,2x2,Between,40,2-Factor Contrasts,0.038,0.037,0.037,0.003
Double Exponential,2x2,Between,32,1-Factor Contrasts,0.067,0.069,0.064,0.067
Double Exponential,2x2,Between,32,2-Factor Contrasts,0.055,0.051,0.049,0.007
Double Exponential,2x2,Between,16,1-Factor Contrasts,0.048,0.059,0.051,0.048
Double Exponential,2x2,Between,16,2-Factor Contrasts,0.049,0.045,0.039,0.01
Double Exponential,2x2,Within,32,1-Factor Contrasts,0.041,0.047,0.052,0.041
Double Exponential,2x2,Within,32,2-Factor Contrasts,0.035,0.045,0.041,0.003
Double Exponential,2x2,Within,16,1-Factor Contrasts,0.051,0.041,0.043,0.051
Double Exponential,2x2,Within,16,2-Factor Contrasts,0.039,0.037,0.037,0.003
Double Exponential,2x2,Within,24,1-Factor Contrasts,0.039,0.047,0.044,0.039
Double Exponential,2x2,Within,24,2-Factor Contrasts,0.044,0.045,0.043,0.01
Double Exponential,2x2,Within,8,1-Factor Contrasts,0.04,0.042,0.042,0.04
Double Exponential,2x2,Within,8,2-Factor Contrasts,0.056,0.037,0.036,0.002
Double Exponential,2x2,Within,40,1-Factor Contrasts,0.043,0.043,0.05,0.043
Double Exponential,2x2,Within,40,2-Factor Contrasts,0.048,0.051,0.046,0.008
Double Exponential,2x2x2,Between,16,1-Factor Contrasts,0.051,0.051,0.047,0.051
Double Exponential,2x2x2,Between,16,2-Factor Contrasts,0.057,0.053,0.052,0.017
Double Exponential,2x2x2,Between,16,3-Factor Contrasts,0.058,0.059,0.051,0.001
Double Exponential,2x2x2,Between,40,1-Factor Contrasts,0.05,0.053,0.049,0.05
Double Exponential,2x2x2,Between,40,2-Factor Contrasts,0.05,0.052,0.047,0.008
Double Exponential,2x2x2,Between,40,3-Factor Contrasts,0.049,0.05,0.048,0.002
Double Exponential,2x2x2,Between,8,1-Factor Contrasts,0.054,0.049,0.052,0.054
Double Exponential,2x2x2,Between,8,2-Factor Contrasts,0.047,0.047,0.046,0.005
Double Exponential,2x2x2,Between,8,3-Factor Contrasts,0.055,0.052,0.055,0.002
Double Exponential,2x2x2,Between,32,1-Factor Contrasts,0.057,0.057,0.057,0.057
Double Exponential,2x2x2,Between,32,2-Factor Contrasts,0.042,0.047,0.041,0.005
Double Exponential,2x2x2,Between,32,3-Factor Contrasts,0.046,0.048,0.044,0.001
Double Exponential,2x2x2,Between,24,1-Factor Contrasts,0.054,0.05,0.058,0.054
Double Exponential,2x2x2,Between,24,2-Factor Contrasts,0.045,0.053,0.05,0.008
Double Exponential,2x2x2,Between,24,3-Factor Contrasts,0.054,0.053,0.049,0.002
Double Exponential,2x2x2,Within,40,1-Factor Contrasts,0.04,0.042,0.039,0.04
Double Exponential,2x2x2,Within,40,2-Factor Contrasts,0.043,0.042,0.04,0.005
Double Exponential,2x2x2,Within,40,3-Factor Contrasts,0.042,0.043,0.044,0
Double Exponential,2x2x2,Within,24,1-Factor Contrasts,0.05,0.06,0.054,0.05
Double Exponential,2x2x2,Within,24,2-Factor Contrasts,0.051,0.052,0.05,0.008
Double Exponential,2x2x2,Within,24,3-Factor Contrasts,0.051,0.051,0.05,0.001
Double Exponential,2x2x2,Within,16,1-Factor Contrasts,0.058,0.053,0.049,0.058
Double Exponential,2x2x2,Within,16,2-Factor Contrasts,0.048,0.056,0.055,0.007
Double Exponential,2x2x2,Within,16,3-Factor Contrasts,0.049,0.053,0.046,0.001
Double Exponential,2x2x2,Within,32,1-Factor Contrasts,0.049,0.046,0.044,0.049
Double Exponential,2x2x2,Within,32,2-Factor Contrasts,0.051,0.054,0.055,0.007
Double Exponential,2x2x2,Within,32,3-Factor Contrasts,0.05,0.049,0.047,0.002
Double Exponential,2x2x2,Within,8,1-Factor Contrasts,0.069,0.055,0.045,0.069
Double Exponential,2x2x2,Within,8,2-Factor Contrasts,0.049,0.047,0.041,0.005
Double Exponential,2x2x2,Within,8,3-Factor Contrasts,0.048,0.049,0.037,0
Double Exponential,3x3,Between,16,1-Factor Contrasts,0.051,0.048,0.055,0.051
Double Exponential,3x3,Between,16,2-Factor Contrasts,0.045,0.048,0.043,0.01
Double Exponential,3x3,Between,24,1-Factor Contrasts,0.052,0.057,0.046,0.052
Double Exponential,3x3,Between,24,2-Factor Contrasts,0.061,0.062,0.056,0.019
Double Exponential,3x3,Between,40,1-Factor Contrasts,0.045,0.049,0.05,0.045
Double Exponential,3x3,Between,40,2-Factor Contrasts,0.05,0.051,0.049,0.013
Double Exponential,3x3,Between,32,1-Factor Contrasts,0.05,0.054,0.054,0.05
Double Exponential,3x3,Between,32,2-Factor Contrasts,0.049,0.05,0.05,0.012
Double Exponential,3x3,Between,8,1-Factor Contrasts,0.043,0.04,0.039,0.043
Double Exponential,3x3,Between,8,2-Factor Contrasts,0.046,0.048,0.047,0.013
Double Exponential,3x3,Within,24,1-Factor Contrasts,0.059,0.053,0.048,0.059
Double Exponential,3x3,Within,24,2-Factor Contrasts,0.048,0.047,0.043,0.012
Double Exponential,3x3,Within,32,1-Factor Contrasts,0.039,0.042,0.048,0.039
Double Exponential,3x3,Within,32,2-Factor Contrasts,0.041,0.042,0.042,0.012
Double Exponential,3x3,Within,8,1-Factor Contrasts,0.056,0.059,0.053,0.056
Double Exponential,3x3,Within,8,2-Factor Contrasts,0.061,0.062,0.043,0.018
Double Exponential,3x3,Within,40,1-Factor Contrasts,0.063,0.047,0.048,0.063
Double Exponential,3x3,Within,40,2-Factor Contrasts,0.051,0.051,0.05,0.015
Double Exponential,3x3,Within,16,1-Factor Contrasts,0.051,0.048,0.043,0.051
Double Exponential,3x3,Within,16,2-Factor Contrasts,0.044,0.043,0.039,0.009
