"Data_Set","Num_Responses_per_Condition","BW","Trial","C1","Cstr1","C2","Cstr2","DF_ART_Omni_Random","DF_Param_Random","DF_ART_Con_Random","T_ART_Omni_Random","T_Param_Random","T_ART_Con_Random","P_ART_Omni_Random","P_Param_Random","P_ART_Con_Random","P_Nonparam"
3,16,"within","17","5","a","6","b",45,45,45,-0.0957393697028627,0.829865428214203,-0.0957393697028627,0.924152662704094,0.410995790724147,0.924152662704094,0.560757356695831
3,16,"within","18","7","c","8","d",45.0000000000001,45,45.0000000000001,-0.28623210604208,0.791817535542202,-0.28623210604208,0.776013995864202,0.432621319916482,0.776013995864202,0.321714549325407
3,16,"within","19","1","a c","2","b c",45,45,45.0000000000002,-1.95162259102991,-0.0482560884522324,-0.569212487592836,0.0572237922689002,0.96172569090611,0.57204236840858,1
3,16,"within","20","1","a c","3","a d",45.0000000000001,45,45.0000000000001,-2.08173076376524,-0.0751600113704625,-0.727845475938381,0.0430847933709241,0.940420541753318,0.470478571155395,0.899932861328125
3,16,"within","21","1","a c","4","b d",45,45,45.0000000000001,-2.4920719239305,1.14670302060685,-0.00933135225562014,0.0164507343032475,0.257565168128083,0.992596012883245,0.433197021484375
3,16,"within","22","2","b c","3","a d",45,45,45.0000000000001,-0.130108172735327,-0.02690392291823,0.158632988345545,0.897060715050785,0.97865532386635,0.87466782371825,0.820892333984375
3,16,"within","23","2","b c","4","b d",45,45,45.0000000000001,-0.54044933290059,1.19495910905908,0.559881135337216,0.591552264339742,0.238363027580103,0.578337064544715,0.116668701171875
3,16,"within","24","3","a d","4","b d",45,45,45,-0.410341160165263,1.22186303197731,0.718514123682761,0.683502929174572,0.228121600247187,0.476154690144854,0.40374755859375
4,40,"within","25","5","a","6","b",117.000000000001,117.000000000001,117.000000000001,-0.729192055665544,0.808284455944189,-0.729192055665544,0.467341409164158,0.420567280669166,0.467341409164158,0.786398549342892
4,40,"within","26","7","c","8","d",117,117.000000000001,117,-0.202482078446872,-0.379822760939134,-0.202482078446872,0.839891545686818,0.704765556840576,0.839891545686818,0.569790523490303
4,40,"within","27","1","a c","2","b c",117,117.000000000001,117.000000000001,-1.53763888066818,0.94801421666562,-0.30082741967309,0.126836999123808,0.345076193751659,0.764080026323709,0.805726983948261
4,40,"within","28","1","a c","3","a d",117,117.000000000001,117.000000000001,0.690121387386505,0.107895546830746,0.0029784893036939,0.491484527721871,0.9142633588143,0.997628585394751,0.86803340303959
4,40,"within","29","1","a c","4","b d",117,117.000000000001,117.000000000001,-1.33181320372834,0.302968170016757,-0.762493261745654,0.185510281240224,0.762452135183282,0.447300165239133,0.920592268303153
4,40,"within","30","2","b c","3","a d",117,117.000000000001,117.000000000001,2.22776026805468,-0.840118669834874,-0.303805908976784,0.0278087165269295,0.402555356097492,0.761815382394372,0.509914110924001
4,40,"within","31","2","b c","4","b d",117,117.000000000001,117,0.205825676939835,-0.645046046648863,-0.461665842072564,0.837284792865548,0.520160205387798,0.645178185006105,0.553699556743595
4,40,"within","32","3","a d","4","b d",117,117.000000000001,117.000000000001,-2.02193459111485,0.195072623186011,-0.765471751049348,0.0454644069962753,0.845674443567632,0.445532091331943,0.562667682332176
5,24,"within","33","5","a","6","b",68.9999999999996,68.9999999999999,68.9999999999996,0.341261380766188,-1.22531866013409,0.341261380766188,0.733943858928304,0.224621386088059,0.733943858928304,0.882860494004334
5,24,"within","34","7","c","8","d",68.9999999999999,68.9999999999999,68.9999999999999,0.875083795290675,0.235623451693184,0.875083795290675,0.384564286481465,0.814422826131195,0.384564286481465,0.430116830999175
5,24,"within","35","1","a c","2","b c",68.9999999999999,68.9999999999999,68.9999999999999,2.71223041797944,-1.25580024305543,-0.0137787382152228,0.00842964783138736,0.213424197556028,0.989046268435608,0.583806157112122
5,24,"within","36","1","a c","3","a d",68.9999999999999,69.0000000000002,68.9999999999999,-0.391605461419491,-0.22275816886137,0.165344858582675,0.696556557043773,0.824381826381633,0.869156036691729,0.966447234153748
5,24,"within","37","1","a c","4","b d",68.9999999999999,68.9999999999999,68.9999999999999,3.33589837505492,-0.699820193196395,0.950732936850381,0.00137172162416414,0.486392372904217,0.345058362264473,0.833373427391053
5,24,"within","38","2","b c","3","a d",68.9999999999999,68.9999999999999,68.9999999999999,-3.10383587939893,1.03304207419406,-0.179123596797898,0.00276928824989733,0.305191486012626,0.858365597681598,0.168809652328491
5,24,"within","39","2","b c","4","b d",68.9999999999999,68.9999999999999,68.9999999999999,0.623667957075486,0.555980049859032,0.964511675065604,0.534902039792265,0.580022972288329,0.338157748301237,0.302899241447449
5,24,"within","40","3","a d","4","b d",68.9999999999999,68.9999999999999,68.9999999999999,3.72750383647442,-0.477062024335025,0.785388078267706,0.000392257149424298,0.634825505358209,0.434914647474073,0.390246629714966
6,40,"within","41","5","a","6","b",117.000000000001,116.999999999999,117.000000000001,0.148264136387513,-0.804893644772604,0.148264136387513,0.882389542991829,0.422513670864224,0.882389542991829,0.646919805143487
6,40,"within","42","7","c","8","d",117,116.999999999999,117,0.244197700172019,0.200291378357439,0.244197700172019,0.807505420800848,0.841600437014862,0.807505420800848,0.640043484586962
6,40,"within","43","1","a c","2","b c",117,116.999999999999,117,1.09697940952051,-0.775298359606836,0.0398146625348817,0.274903035552368,0.439727565990467,0.968308746081131,0.599208943085614
6,40,"within","44","1","a c","3","a d",117,116.999999999999,117,-0.199905131575493,-0.0645252134044268,0.0870945742950539,0.841901813752413,0.948662148331489,0.930745222242148,0.665550807414547
6,40,"within","45","1","a c","4","b d",117,116.999999999999,117,1.08198652465235,-0.427518362502919,0.360820379222366,0.28148350650124,0.669787622479742,0.718884376341422,0.899515130446161
6,40,"within","46","2","b c","3","a d",117,116.999999999999,117,-1.29688454109601,0.71077314620241,-0.0472799117601721,0.197222667860475,0.478639318456379,0.962370747599227,0.714597444986794
6,40,"within","47","2","b c","4","b d",117,116.999999999999,117,-0.0149928848681619,0.347779997103918,0.321005716687484,0.98806339315636,0.728630306078884,0.748778744628374,0.704687674307934
6,40,"within","48","3","a d","4","b d",117,116.999999999999,117,1.28189165622785,-0.362993149098492,0.273725804927312,0.20241503125649,0.717264963720832,0.784777984547431,0.931152250108426
7,32,"within","49","5","a","6","b",92.9999999999998,93.0000000000004,92.9999999999998,0.207064229566682,-0.434376035822024,0.207064229566682,0.836412401317961,0.665021556183739,0.836412401317961,0.510076092879823
7,32,"within","50","7","c","8","d",93.0000000000004,93.0000000000004,93.0000000000004,-0.920043217159261,0.0675449599296313,-0.920043217159261,0.359930499247603,0.946292875729687,0.359930499247603,0.786511062898254
7,32,"within","51","1","a c","2","b c",93.0000000000004,93.0000000000004,93.0000000000004,0.640351714126348,-1.32969955237852,-0.289773728770139,0.523518573711216,0.186869540743268,0.772634420770655,0.977935066912323
7,32,"within","52","1","a c","3","a d",93.0000000000004,93.0000000000004,93.0000000000004,-1.09308445468701,-0.974787812662618,-0.967272869274972,0.277180082689053,0.332194251967625,0.335916374415228,0.231229677796364
7,32,"within","53","1","a c","4","b d",93.0000000000004,93.0000000000004,93.0000000000004,0.0448654067222282,-0.259388741313468,-0.636685939269602,0.964310785439165,0.795908633814623,0.525893497022493,0.760850263759494
7,32,"within","54","2","b c","3","a d",93.0000000000004,93.0000000000004,93.0000000000004,-1.73343616881336,0.3549117397159,0.677499140504833,0.0863323731097372,0.72345930600058,0.499771295453213,0.560757356695831
7,32,"within","55","2","b c","4","b d",93.0000000000004,93.0000000000004,93.0000000000004,-0.595486307404119,1.07031081106505,-0.346912210499463,0.552964823458297,0.287249390138233,0.729441039368534,0.303787185344845
7,32,"within","56","3","a d","4","b d",93.0000000000004,93.0000000000004,92.9999999999998,1.13794986140924,0.71539907134915,0.33058693000537,0.258064561119145,0.476154734502909,0.741700141235216,0.340298998635262
8,40,"within","57","5","a","6","b",117.000000000001,117.000000000001,117.000000000001,1.02250378322595,-0.832792005314659,1.02250378322595,0.308652061540388,0.406658787815204,0.308652061540388,0.760698061626555
8,40,"within","58","7","c","8","d",117,117.000000000001,117,1.21503375616279,-1.01072921019421,1.21503375616279,0.226799522185682,0.314231743231862,0.226799522185682,0.264791815752275
8,40,"within","59","1","a c","2","b c",117,117.000000000001,117.000000000001,5.18337626228552,0.566318203990819,1.12383132745252,9.21921604390532e-07,0.57226217757941,0.26338515284975,0.28258411218485
8,40,"within","60","1","a c","3","a d",117.000000000001,117.000000000001,117.000000000001,6.80593455402079,0.440497599795108,1.70587069263454,4.54699620433171e-10,0.660389526516804,0.0906854618996861,0.161787471806747
8,40,"within","61","1","a c","4","b d",117.000000000001,117.000000000001,117.000000000001,11.0348647623444,-1.30356635274759,0.91021049661444,7.70805631938002e-20,0.194940684252263,0.364582860397882,0.459813673283861
8,40,"within","62","2","b c","3","a d",117,117.000000000001,117.000000000001,1.62255829173527,-0.125820604195711,-0.582039365182022,0.107375435375917,0.900089882748755,0.561660025952802,0.744604358178549
8,40,"within","63","2","b c","4","b d",117.000000000001,117.000000000001,117,5.85148850005886,-1.86988455673841,-0.213620830838083,4.53083721397267e-08,0.063999389829794,0.831214565809913,0.86803340303959
8,40,"within","64","3","a d","4","b d",117.000000000001,117.000000000001,117.000000000001,4.22893020832359,-1.7440639525427,-0.795660196020105,4.68382432383351e-05,0.0837742883418827,0.427840869436701,0.492910020144336
9,8,"within","65","5","a","6","b",21,21,21,-0.219675607781464,0.659261535080106,-0.219675607781464,0.828245088173917,0.516892698438849,0.828245088173917,0.899932861328125
9,8,"within","66","7","c","8","d",21,21,21,-0.0746022381540055,-0.441121177787654,-0.0746022381540055,0.94123728335245,0.663633450305865,0.94123728335245,0.820892333984375
9,8,"within","67","1","a c","2","b c",21,21,21,-0.733943423273852,0.169534538696355,0.0508117599279948,0.471098928425166,0.866998724169491,0.959955733840797,0.7421875
9,8,"within","68","1","a c","3","a d",21,21,21,0.576669832572313,-0.608553539472888,0.177841159747982,0.57029288953233,0.549347000956908,0.860552028411165,0.7421875
9,8,"within","69","1","a c","4","b d",21,21,21,-0.471820772104619,0.15424852589195,-0.228652919675977,0.641920244549739,0.878886573452524,0.821350644855645,1
9,8,"within","70","2","b c","3","a d",21,21,21,1.31061325584617,-0.778088078169243,-0.127029399819987,0.204141894646532,0.445195809158722,0.900125612752124,0.84375
9,8,"within","71","2","b c","4","b d",21,21,21,0.262122651169233,-0.0152860128044055,-0.279464679603971,0.795780938364369,0.987948299267986,0.782622204690165,1
9,8,"within","72","3","a d","4","b d",21,21,21,-1.04849060467693,0.762802065364838,-0.406494079423958,0.306330510755301,0.454065417487045,0.688492471703224,0.9453125
10,8,"within","73","5","a","6","b",21,21,21,-0.698134865909808,-1.32154053659198,-0.698134865909808,0.492751722258007,0.200538834429636,0.492751722258007,0.21142578125
10,8,"within","74","7","c","8","d",21,21,21,-0.0390122867295889,-0.270658758826238,-0.0390122867295889,0.969249098572446,0.789295874754668,0.969249098572446,0.743560791015625
10,8,"within","75","1","a c","2","b c",21,21,21.0000000000001,0.496545538136014,-0.482423743404218,-0.921244625765818,0.624667411741743,0.634495355356283,0.367385705954444,0.3828125
10,8,"within","76","1","a c","3","a d",21,21,21,0.137929316148893,0.260661887879311,-0.135477150847914,0.891610274980529,0.79689224416121,0.89352484883058,0.7421875
10,8,"within","77","1","a c","4","b d",21,21,21,1.02067693950181,-1.12585491879066,-0.352240592204577,0.319022807723425,0.272929554701813,0.728168198710233,0.546875
10,8,"within","78","2","b c","3","a d",21,21,21,-0.358616221987121,0.743085631283529,-0.785767474917903,0.72346230614269,0.465662250882323,0.44078014051271,0.3828125
10,8,"within","79","2","b c","4","b d",21,21,21,0.524131401365792,-0.643431175386446,0.569004033561241,0.605675675764127,0.526909061415254,0.575389219312886,1
10,8,"within","80","3","a d","4","b d",21,21,21,0.882747623352913,-1.38651680666998,-0.216763441356663,0.387366282496252,0.180134051908304,0.830484671553934,0.546875
11,24,"within","81","5","a","6","b",68.9999999999999,68.9999999999999,68.9999999999999,-1.4052768419081,-0.96677024864184,-1.4052768419081,0.164425518803686,0.337035315709653,0.164425518803686,0.0700045571866783
11,24,"within","82","7","c","8","d",68.9999999999999,68.9999999999999,68.9999999999999,0,-0.0195848982453433,0,1,0.984431035078988,1,0.192793634533189
11,24,"within","83","1","a c","2","b c",68.9999999999999,68.9999999999999,68.9999999999999,0.679373395661631,-2.04133720347138,-1.96903336779854,0.499174048431302,0.0450435876476552,0.0529666114338482,0.0211271047592163
11,24,"within","84","1","a c","3","a d",68.9999999999999,68.9999999999999,68.9999999999999,-1.27300063458927,-1.37157601916546,-1.67434810186951,0.207290251172918,0.174639216150456,0.0985895358413313,0.029131293296814
11,24,"within","85","1","a c","4","b d",68.9999999999999,68.9999999999999,68.9999999999999,1.20044619427589,-0.69745841302218,-1.90205944372376,0.234071258101845,0.487859472414269,0.0613382751043306,0.135528087615967
11,24,"within","86","2","b c","3","a d",68.9999999999999,68.9999999999999,68.9999999999999,-1.9523740302509,0.669761184305919,-0.294685265929033,0.0549522426444767,0.505245257047109,0.769119115051222,0.855335712432862
11,24,"within","87","2","b c","4","b d",68.9999999999999,68.9999999999999,68.9999999999999,0.521072798614261,1.3438787904492,0.06697392407478,0.603984409011416,0.183390043324331,0.946796149990707,0.944107174873352
11,24,"within","88","3","a d","4","b d",68.9999999999999,68.9999999999999,68.9999999999999,2.47344682886516,0.674117606143281,-0.227711341854253,0.0158473858293299,0.502488764032908,0.820544064021376,0.966447234153748
12,24,"within","89","5","a","6","b",68.9999999999996,68.9999999999999,68.9999999999996,0.848960082176516,-0.970645526177058,0.848960082176516,0.398839318304451,0.335115146883409,0.398839318304451,0.748837991724969
12,24,"within","90","7","c","8","d",68.9999999999999,68.9999999999999,68.9999999999999,-0.830661579755656,-1.71042620980449,-0.830661579755656,0.409029912521931,0.0916802047078698,0.409029912521931,0.372783441512503
12,24,"within","91","1","a c","2","b c",68.9999999999999,68.9999999999999,68.9999999999999,1.82722656268704,-0.478216525714823,0.258686622427459,0.0719903039514068,0.634007820146693,0.796647171404836,0.9218088388443
12,24,"within","92","1","a c","3","a d",68.9999999999999,68.9999999999999,68.9999999999996,1.9316395091263,-1.0013204636986,-1.03474648970984,0.0575118637625801,0.320170588047525,0.304400321774109,0.252249360084534
12,24,"within","93","1","a c","4","b d",68.9999999999999,68.9999999999999,68.9999999999999,4.64057539730041,-1.89580400536014,-0.0931271840738852,1.60362151735548e-05,0.0621744913093584,0.926072399954566,0.583806157112122
