,Population_Distribution,Layout,BW,Condition_Sample_Size,Contrast_Size,ART_Con_Num_Sig,Param_Num_Sig,Nonparam_Num_Sig,ART_Omni_Num_Sig,ART_Con_Proportion_Sig,Param_Proportion_Sig,Nonparam_Proportion_Sig,ART_Omni_Proportion_Sig,Num_Trials
55,0,3x3,between,8,1,50,51,47,50,0.044802867,0.045698925,0.042114695,0.044802867,1116
56,0,3x3,between,8,2,384,383,375,87,0.05734767,0.057198327,0.056003584,0.012992832,6696
57,0,3x3,between,40,1,66,66,63,66,0.057894737,0.057894737,0.055263158,0.057894737,1140
58,0,3x3,between,40,2,380,387,389,75,0.055555556,0.056578947,0.056871345,0.010964912,6840
59,0,3x3,between,32,1,58,60,57,58,0.041310541,0.042735043,0.040598291,0.041310541,1404
60,0,3x3,between,32,2,408,399,405,95,0.048433048,0.047364672,0.048076923,0.011277303,8424
61,0,3x3,within,8,1,44,53,45,44,0.038394415,0.046247818,0.039267016,0.038394415,1146
62,0,3x3,within,8,2,329,334,228,69,0.047847586,0.048574753,0.033158813,0.010034904,6876
63,0,3x3,within,16,1,68,69,56,68,0.059027778,0.059895833,0.048611111,0.059027778,1152
64,0,3x3,within,16,2,350,361,328,79,0.050636574,0.052228009,0.047453704,0.011429398,6912
65,0,3x3,within,32,1,50,57,44,50,0.040064103,0.045673077,0.03525641,0.040064103,1248
66,0,3x3,within,32,2,343,350,357,80,0.045806624,0.046741453,0.047676282,0.010683761,7488
67,0,3x3,within,40,1,65,60,53,65,0.053630363,0.04950495,0.043729373,0.053630363,1212
68,0,3x3,within,40,2,338,349,333,51,0.046479648,0.047992299,0.045792079,0.007013201,7272
69,0,3x3,within,24,1,59,61,56,59,0.048202614,0.049836601,0.045751634,0.048202614,1224
70,0,3x3,within,24,2,335,322,312,54,0.045615468,0.043845316,0.04248366,0.007352941,7344
71,10,2x2,between,8,1,13,12,12,13,0.030660377,0.028301887,0.028301887,0.030660377,424
72,10,2x2,between,8,2,49,49,51,88,0.038522013,0.038522013,0.04009434,0.06918239,1272
73,10,2x2,between,16,1,24,21,21,24,0.059701493,0.052238806,0.052238806,0.059701493,402
74,10,2x2,between,16,2,55,65,52,159,0.045605307,0.053897181,0.043117745,0.131840796,1206
75,10,2x2,between,32,1,17,10,16,17,0.043147208,0.025380711,0.040609137,0.043147208,394
76,10,2x2,between,32,2,47,44,48,180,0.039763113,0.037225042,0.040609137,0.152284264,1182
77,10,2x2,between,24,1,9,14,7,9,0.025139665,0.039106145,0.019553073,0.025139665,358
78,10,2x2,between,24,2,49,39,44,166,0.045623836,0.036312849,0.040968343,0.154562384,1074
79,10,2x2,between,40,1,25,21,20,25,0.059241706,0.049763033,0.047393365,0.059241706,422
80,10,2x2,between,40,2,60,75,58,218,0.047393365,0.059241706,0.045813586,0.172195893,1266
81,10,2x2,within,24,1,18,15,19,18,0.045,0.0375,0.0475,0.045,400
82,10,2x2,within,24,2,55,50,52,370,0.045833333,0.041666667,0.043333333,0.308333333,1200
83,10,2x2,within,16,1,16,15,11,16,0.039800995,0.037313433,0.027363184,0.039800995,402
